Time_(Ps),ROG_(nm)
13150,1.84731
13160,1.84485
13170,1.84573
13180,1.84246
13190,1.84671
13200,1.85142
13210,1.84041
13220,1.84887
13230,1.85033
13240,1.84263
13250,1.84731
13260,1.85035
13270,1.84979
13280,1.84988
13290,1.84546
13300,1.85061
13310,1.84805
13320,1.85235
13330,1.86094
13340,1.84892
13350,1.85727
13360,1.8488
13370,1.8489
13380,1.84166
13390,1.85224
13400,1.84638
13410,1.8448
13420,1.85692
13430,1.85169
13440,1.85166
13450,1.8502
13460,1.84574
13470,1.84705
13480,1.84636
13490,1.85641
13500,1.85494
13510,1.84809
13520,1.85436
13530,1.84841
13540,1.84481
13550,1.8569
13560,1.85028
13570,1.8497
13580,1.84491
13590,1.8424
13600,1.85243
13610,1.8425
13620,1.84576
13630,1.84083
13640,1.8443
13650,1.85156
13660,1.84317
13670,1.8519
13680,1.85835
13690,1.84839
13700,1.85442
13710,1.86242
13720,1.85886
13730,1.84669
13740,1.8558
13750,1.84618
13760,1.84868
13770,1.85907
13780,1.86336
13790,1.85683
13800,1.85662
13810,1.86043
13820,1.85434
13830,1.85467
13840,1.86092
13850,1.85384
13860,1.85729
13870,1.85936
13880,1.85614
13890,1.8707
13900,1.85713
13910,1.85901
13920,1.85955
13930,1.85631
13940,1.8544
13950,1.85597
13960,1.85475
13970,1.85478
13980,1.8484
13990,1.84762
14000,1.84752
14010,1.8491
14020,1.85154
14030,1.85458
14040,1.85437
14050,1.85726
14060,1.85921
14070,1.86044
14080,1.85315
14090,1.84866
14100,1.85736
14110,1.85034
14120,1.85399
14130,1.85686
14140,1.8434
14150,1.8456
14160,1.85572
14170,1.85342
14180,1.85367
14190,1.85557
14200,1.85435
14210,1.85764
14220,1.86302
14230,1.85399
14240,1.85908
14250,1.85615
14260,1.85867
14270,1.86382
14280,1.84874
14290,1.85327
14300,1.84906
14310,1.85541
14320,1.85462
14330,1.85077
14340,1.85146
14350,1.83902
14360,1.85294
14370,1.85533
14380,1.8515
14390,1.85684
14400,1.84659
14410,1.84331
14420,1.84597
14430,1.85443
14440,1.84853
14450,1.84312
14460,1.85085
14470,1.84082
14480,1.84757
14490,1.846
14500,1.83793
14510,1.8433
14520,1.8496
14530,1.8588
14540,1.8551
14550,1.84516
14560,1.84667
14570,1.84734
14580,1.85154
14590,1.84871
14600,1.84621
14610,1.851
14620,1.84951
14630,1.85064
14640,1.85946
14650,1.85578
14660,1.8532
14670,1.84719
14680,1.86199
14690,1.8474
14700,1.84968
14710,1.84633
14720,1.8474
14730,1.84237
14740,1.85207
14750,1.84652
14760,1.84074
14770,1.84027
14780,1.83918
14790,1.85169
14800,1.84025
14810,1.83859
14820,1.84211
14830,1.84352
14840,1.84837
14850,1.84661
14860,1.84729
14870,1.85073
14880,1.84629
14890,1.8528
14900,1.84343
14910,1.84648
14920,1.84642
14930,1.84323
14940,1.85022
14950,1.84507
14960,1.84072
14970,1.85004
14980,1.84687
14990,1.84915
15000,1.85186
15010,1.85024
15020,1.85532
15030,1.84692
15040,1.85353
15050,1.8547
15060,1.85106
15070,1.84608
15080,1.85904
15090,1.85349
15100,1.8536
15110,1.85874
15120,1.85502
15130,1.85587
15140,1.85318
15150,1.85579
15160,1.85728
15170,1.85362
15180,1.85181
15190,1.84866
15200,1.85094
15210,1.84635
15220,1.84779
15230,1.85723
15240,1.85116
15250,1.85076
15260,1.85337
15270,1.84806
15280,1.85426
15290,1.84799
15300,1.85008
15310,1.85517
15320,1.84816
15330,1.85672
15340,1.85601
15350,1.84414
15360,1.84305
15370,1.84634
15380,1.84582
15390,1.84648
15400,1.84592
15410,1.85049
15420,1.85692
15430,1.85149
15440,1.858
15450,1.85126
15460,1.85156
15470,1.85041
15480,1.85436
15490,1.85283
15500,1.8544
15510,1.84668
15520,1.85977
15530,1.85111
15540,1.8532
15550,1.85163
15560,1.84922
15570,1.8524
15580,1.83998
15590,1.84674
15600,1.85072
15610,1.84496
15620,1.84269
15630,1.84887
15640,1.84696
15650,1.84648
15660,1.84273
15670,1.85226
15680,1.85479
15690,1.84265
15700,1.85414
15710,1.85397
15720,1.84857
15730,1.85623
15740,1.85159
15750,1.85896
15760,1.84879
15770,1.84675
15780,1.84994
15790,1.85531
15800,1.85369
15810,1.85264
15820,1.85577
15830,1.85567
15840,1.85185
15850,1.85952
15860,1.84548
15870,1.85992
15880,1.85686
15890,1.8538
15900,1.84982
15910,1.85083
15920,1.85415
15930,1.85741
15940,1.85194
15950,1.84962
15960,1.85161
15970,1.84882
15980,1.84763
15990,1.85247
16000,1.84916
16010,1.84881
16020,1.84654
16030,1.85608
16040,1.85114
16050,1.85374
16060,1.85387
16070,1.84961
16080,1.84427
16090,1.85283
16100,1.85598
16110,1.85804
16120,1.84956
16130,1.85554
16140,1.85863
16150,1.85031
16160,1.85255
16170,1.85385
16180,1.85914
16190,1.85433
16200,1.86517
16210,1.85708
16220,1.85473
16230,1.85348
16240,1.85151
16250,1.84822
16260,1.85297
16270,1.85067
16280,1.85362
16290,1.86036
16300,1.85888
16310,1.85537
16320,1.85843
16330,1.85683
16340,1.85865
16350,1.86466
16360,1.85595
16370,1.85959
16380,1.86222
16390,1.86501
16400,1.86727
16410,1.86838
16420,1.8631
16430,1.86824
16440,1.86893
16450,1.86406
16460,1.86666
16470,1.86098
16480,1.86324
16490,1.86275
16500,1.8608
16510,1.8688
16520,1.87781
16530,1.86926
16540,1.8596
16550,1.87165
16560,1.86316
16570,1.86773
16580,1.86479
16590,1.86027
16600,1.86051
16610,1.86027
16620,1.85106
16630,1.86522
16640,1.86975
16650,1.86588
16660,1.86618
16670,1.85869
16680,1.85909
16690,1.86565
16700,1.86217
16710,1.86148
16720,1.86973
16730,1.87157
16740,1.86956
16750,1.86431
16760,1.86419
16770,1.86358
16780,1.86576
16790,1.8596
16800,1.86564
16810,1.85837
16820,1.85759
16830,1.84859
16840,1.85048
16850,1.85185
16860,1.84629
16870,1.84803
16880,1.84956
16890,1.84542
16900,1.84989
16910,1.84648
16920,1.84337
16930,1.8524
16940,1.85346
16950,1.85407
16960,1.85852
16970,1.85568
16980,1.84977
16990,1.85617
17000,1.84816
17010,1.85458
17020,1.85753
17030,1.85595
17040,1.85864
17050,1.86065
17060,1.8558
17070,1.86034
17080,1.85741
17090,1.85268
17100,1.85755
17110,1.86347
17120,1.86223
17130,1.86566
17140,1.86664
17150,1.8597
17160,1.849
17170,1.85349
17180,1.85887
17190,1.86002
17200,1.8545
17210,1.86006
17220,1.86193
17230,1.85728
17240,1.85209
17250,1.85225
17260,1.85474
17270,1.84948
17280,1.84984
17290,1.84389
17300,1.85668
17310,1.85418
17320,1.84799
17330,1.84399
17340,1.84579
17350,1.85165
17360,1.84384
17370,1.84157
17380,1.85177
17390,1.85116
17400,1.84803
17410,1.84645
17420,1.84235
17430,1.84833
17440,1.84944
17450,1.85348
17460,1.85497
17470,1.86201
17480,1.85754
17490,1.86235
17500,1.86237
17510,1.86336
17520,1.85879
17530,1.86698
